USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;COORECTP;UNCERTAINP;INCORRECTP;TRAIN_TIME
15;1;5;3;45;1;0.5933333237965902;0.3333333333333333;0.27376582225163776;19.924
3;1;5;3;45;1;0.6866666475931803;0.428758184115092;0.3477853735287984;12.996
32;1;5;3;45;1;0.653333306312561;0.414814829826355;0.3199999928474426;16.48
7;1;5;3;45;1;0.5866666634877523;0.32072649399439496;0.2558922568957011;44.611
36;1;5;3;45;1;0.6333333253860474;0.39667773246765137;0.31985293825467426;16.42
4;1;5;3;45;1;0.6199999650319418;0.3649122714996338;0.2832832833131154;15.211
20;1;5;3;45;1;0.6199999650319418;0.3683712085088094;0.2800217568874359;16.711
29;1;5;3;45;1;0.5933333237965902;0.3574074109395345;0.2763532797495524;19.29
14;1;5;3;45;1;0.5933333237965902;0.3390313386917114;0.2833333412806193;16.945
11;1;5;3;45;1;0.6199999650319418;0.3384353717168172;0.25995246569315594;8.084
