USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACY1;ACCURACY0;ACCURACY-1;PRECISION1;PRECISION0;PRECISION-1;RECALL1;RECALL0,RECALL-1;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME
15;1;5;3;105;1;0.6;0.4;0.4;0;0.0;0.5;0.0;0;0.33333334;0.4666666587193807;0.16666666666666666;0.11111111442248027;60.786
3;1;5;3;105;1;0.5;0.96;0.54;0.5051546;0;0.33333334;0.9607843;0.0;0.022222223;0.6666666666666666;0.2794959843158722;0.32766884565353394;814.568
32;1;5;3;105;1;0.6;0.78;0.68;0.5319149;0.1875;0.6756757;0.5813953;0.25;0.5555556;0.6866666475931803;0.4650301933288574;0.46231698989868164;2824.78
7;1;5;3;105;1;0.61;0.85;0.64;0.6;0.1;0.6;0.75;0.14285715;0.36585367;0.6999999682108561;0.4333333571751912;0.4195702870686849;2368.56
36;1;5;3;105;1;0.49;0.79;0.64;0.34848484;0.44444445;0.76;0.7419355;0.2;0.3877551;0.6399999856948853;0.5176430940628052;0.4432301918665568;818.177
4;1;5;3;105;1;0.63;0.84;0.67;0.60240966;0.0;0.7;0.9259259;0.0;0.1891892;0.7133333683013916;0.4341365496317546;0.3717050552368164;112.247
20;1;5;3;105;1;0.65555555;0.74444443;0.6666667;0.9;0.0;0.609375;0.23076923;0.0;0.8863636;0.6888888676961263;0.503124992052714;0.3723776340484619;2260.59
29;1;5;3;105;1;0.55;0.83;0.62;0.50549453;0.0;1.0;1.0;0.0;0.0952381;0.6666666666666666;0.5018315315246582;0.3650793631871541;148.745
14;1;5;3;105;1;0.54;0.92;0.56;0.75;0.0;0.5;0.17307693;0.0;0.95454544;0.6733333269755045;0.4166666666666667;0.375874121983846;189.372
11;1;5;3;105;1;0.54;0.93;0.57;0.51086956;0.33333334;0.8;0.9791667;0.16666667;0.08695652;0.6799999872843424;0.5480676492055258;0.41092995802561444;6.477
